1350,1382,800,1638,1795,800,1596,1877,800,1290,1265,800
1244,1286,800,1614,1834,800,1587,1925,800,1329,1238,800
1290,1265,800,1596,1877,800,1650,1618,800,1362,1205,800
1329,1238,800,1587,1925,800,1756,1714,800,1386,1166,800
1362,1205,800,1650,1618,800,1710,1735,800,1404,1123,800
1386,1166,800,1756,1714,800,1671,1762,800,1413,1075,800
1404,1123,800,1710,1735,800,1638,1795,800,1350,1382,800
1413,1075,800,1671,1762,800,1614,1834,800,1244,1286,800
1350,1382,800,1638,1795,800,1596,1877,800,1290,1265,800
1244,1286,800,1614,1834,800,1587,1925,800,1329,1238,800
1290,1265,800,1596,1877,800,1650,1618,800,1362,1205,800
1329,1238,800,1587,1925,800,1756,1714,800,1386,1166,800
1362,1205,800,1650,1618,800,1710,1735,800,1404,1123,800
1386,1166,800,1756,1714,800,1671,1762,800,1413,1075,800
1404,1123,800,1710,1735,800,1638,1795,800,1350,1382,800
1413,1075,800,1671,1762,800,1614,1834,800,1244,1286,800
